step,a,b,error_sq
0,1.075000e-03,9.000000e-04,2.502611e-12
1,1.012500e-03,8.500000e-04,1.782536e-12
2,1.131250e-03,6.250000e-04,5.917853e-13
3,1.065625e-03,4.125000e-04,1.070806e-13
4,1.184375e-03,1.875000e-04,9.162609e-15
5,1.184375e-03,1.875000e-04,9.162609e-15
6,1.121875e-03,1.375000e-04,3.289553e-15
7,1.121875e-03,1.375000e-04,3.289553e-15
8,1.196875e-03,3.750000e-05,2.141129e-16
9,1.196875e-03,3.750000e-05,2.141129e-16
10,1.146875e-03,3.750000e-05,1.970000e-16
11,1.146875e-03,3.750000e-05,1.970000e-16
12,1.146875e-03,3.750000e-05,1.970000e-16
13,1.184375e-03,1.250000e-05,5.591811e-17
14,1.134375e-03,1.250000e-05,5.136873e-17
15,1.134375e-03,1.250000e-05,5.136873e-17
16,1.134375e-03,1.250000e-05,5.136873e-17
17,1.162500e-03,6.250000e-06,3.459973e-17
18,1.076563e-03,3.125000e-06,2.315729e-17
19,1.076563e-03,3.125000e-06,2.315729e-17
20,1.112109e-03,7.812500e-07,2.014517e-17
21,1.112109e-03,7.812500e-07,2.014517e-17
22,1.112109e-03,7.812500e-07,2.014517e-17
23,1.077295e-03,8.789062e-07,1.908684e-17
24,1.077295e-03,8.789062e-07,1.908684e-17
25,1.077295e-03,8.789062e-07,1.908684e-17
26,1.099237e-03,2.563477e-07,1.877113e-17
27,1.040579e-03,1.403809e-07,1.666816e-17
28,1.040579e-03,1.403809e-07,1.666816e-17
29,9.727970e-04,5.058289e-07,1.509226e-17
30,9.397747e-04,1.075745e-07,1.359509e-17
31,7.876991e-04,6.393433e-07,1.008765e-17
32,7.876991e-04,6.393433e-07,1.008765e-17
33,7.876991e-04,6.393433e-07,1.008765e-17
34,7.876991e-04,6.393433e-07,1.008765e-17
35,7.876991e-04,6.393433e-07,1.008765e-17
36,7.876991e-04,6.393433e-07,1.008765e-17
37,7.876991e-04,6.393433e-07,1.008765e-17
38,7.392050e-04,7.149744e-07,8.977146e-18
39,7.392050e-04,7.149744e-07,8.977146e-18
40,7.237664e-04,7.642244e-07,8.652108e-18
41,7.237664e-04,7.642244e-07,8.652108e-18
42,7.237664e-04,7.642244e-07,8.652108e-18
43,7.237664e-04,7.642244e-07,8.652108e-18
44,7.237664e-04,7.642244e-07,8.652108e-18
45,7.221829e-04,7.643342e-07,8.615170e-18
46,7.221829e-04,7.643342e-07,8.615170e-18
47,7.221829e-04,7.643342e-07,8.615170e-18
48,7.218118e-04,7.673711e-07,8.608868e-18
49,7.218118e-04,7.673711e-07,8.608868e-18
50,7.218118e-04,7.673711e-07,8.608868e-18
51,7.215550e-04,7.662597e-07,8.602010e-18
52,7.215550e-04,7.662597e-07,8.602010e-18
53,7.215550e-04,7.662597e-07,8.602010e-18
54,7.215516e-04,7.650837e-07,8.601023e-18
55,7.215516e-04,7.650837e-07,8.601023e-18
56,7.215516e-04,7.650837e-07,8.601023e-18
57,7.215516e-04,7.650837e-07,8.601023e-18
58,7.215214e-04,7.656063e-07,8.600726e-18
59,7.214994e-04,7.635155e-07,8.598585e-18
60,7.214994e-04,7.635155e-07,8.598585e-18
61,7.215027e-04,7.612942e-07,8.596934e-18
62,7.215027e-04,7.612942e-07,8.596934e-18
63,7.214860e-04,7.611961e-07,8.596468e-18
64,7.214843e-04,7.567044e-07,8.592937e-18
65,7.214843e-04,7.567044e-07,8.592937e-18
66,7.214953e-04,7.528476e-07,8.590206e-18
67,7.214815e-04,7.440836e-07,8.583075e-18
68,7.214966e-04,7.319882e-07,8.574053e-18
69,7.214766e-04,7.084124e-07,8.555312e-18
70,7.214967e-04,6.724336e-07,8.527960e-18
71,7.214669e-04,6.072926e-07,8.477031e-18
72,7.214922e-04,5.027645e-07,8.397393e-18
73,7.214452e-04,3.202185e-07,8.257421e-18
74,7.214723e-04,1.988922e-08,8.032697e-18
75,7.214723e-04,1.988922e-08,8.032697e-18
76,7.214420e-04,3.698543e-09,8.019995e-18
77,7.214420e-04,3.698543e-09,8.019995e-18
78,7.214420e-04,3.698543e-09,8.019995e-18
79,7.214420e-04,3.698543e-09,8.019995e-18
80,7.214420e-04,3.698543e-09,8.019995e-18
81,7.214420e-04,3.698543e-09,8.019995e-18
82,7.214576e-04,2.155612e-09,8.019190e-18
83,7.214576e-04,2.155612e-09,8.019190e-18
84,7.214576e-04,2.155612e-09,8.019190e-18
85,7.214576e-04,2.155612e-09,8.019190e-18
86,7.214470e-04,8.068101e-10,8.017953e-18
87,7.214470e-04,8.068101e-10,8.017953e-18
88,7.214574e-04,3.725452e-10,8.017857e-18
89,7.214574e-04,3.725452e-10,8.017857e-18
90,7.214574e-04,3.725452e-10,8.017857e-18
91,7.214508e-04,1.981940e-10,8.017580e-18
92,7.214508e-04,1.981940e-10,8.017580e-18
93,7.214373e-04,3.713354e-10,8.017419e-18
94,7.214376e-04,2.343958e-11,8.017165e-18
95,7.214107e-04,1.957745e-10,8.016715e-18
96,7.214107e-04,1.957745e-10,8.016715e-18
97,7.214107e-04,1.957745e-10,8.016715e-18
98,7.213820e-04,5.093413e-10,8.016318e-18
99,7.213341e-04,7.075955e-10,8.015428e-18
100,7.212528e-04,1.433856e-09,8.014193e-18
101,7.211164e-04,2.193495e-09,8.011790e-18
102,7.208855e-04,4.025835e-09,8.008135e-18
103,7.208855e-04,4.025835e-09,8.008135e-18
104,7.208751e-04,3.947570e-09,8.007841e-18
105,7.208751e-04,3.947570e-09,8.007841e-18
106,7.208751e-04,3.947570e-09,8.007841e-18
107,7.208213e-04,4.435005e-09,8.007031e-18
108,7.207734e-04,4.522190e-09,8.006064e-18
109,7.207734e-04,4.522190e-09,8.006064e-18
110,7.207734e-04,4.522190e-09,8.006064e-18
111,7.207690e-04,4.433026e-09,8.005890e-18
112,7.207690e-04,4.433026e-09,8.005890e-18
113,7.207690e-04,4.433026e-09,8.005890e-18
114,7.207690e-04,4.433026e-09,8.005890e-18
115,7.207655e-04,4.494079e-09,8.005863e-18
116,7.207655e-04,4.494079e-09,8.005863e-18
117,7.207655e-04,4.494079e-09,8.005863e-18
118,7.207657e-04,4.448893e-09,8.005833e-18
119,7.207657e-04,4.448893e-09,8.005833e-18
120,7.207657e-04,4.448893e-09,8.005833e-18
121,7.207657e-04,4.448893e-09,8.005833e-18
122,7.207656e-04,4.374625e-09,8.005775e-18
123,7.207656e-04,4.374625e-09,8.005775e-18
124,7.207661e-04,4.285485e-09,8.005725e-18
125,7.207653e-04,4.161721e-09,8.005611e-18
126,7.207661e-04,3.921559e-09,8.005453e-18
127,7.207649e-04,3.553950e-09,8.005152e-18
128,7.207658e-04,2.889820e-09,8.004679e-18
129,7.207638e-04,1.822537e-09,8.003845e-18
130,7.207648e-04,1.158407e-09,8.003370e-18
131,7.207628e-04,9.112406e-11,8.002536e-18
132,7.207628e-04,9.112406e-11,8.002536e-18
133,7.207637e-04,2.587997e-11,8.002511e-18
134,7.207637e-04,2.587997e-11,8.002511e-18
135,7.207637e-04,2.587997e-11,8.002511e-18
136,7.207637e-04,2.587997e-11,8.002511e-18
137,7.207637e-04,2.587997e-11,8.002511e-18
138,7.207637e-04,2.587997e-11,8.002511e-18
139,7.207632e-04,2.412998e-11,8.002496e-18
140,7.207632e-04,2.412998e-11,8.002496e-18
141,7.207632e-04,2.412998e-11,8.002496e-18
142,7.207632e-04,2.412998e-11,8.002496e-18
143,7.207631e-04,6.725215e-12,8.002486e-18
144,7.207631e-04,6.725215e-12,8.002486e-18
145,7.207626e-04,4.975222e-12,8.002468e-18
146,7.207626e-04,4.975222e-12,8.002468e-18
147,7.207626e-04,4.975222e-12,8.002468e-18
148,7.207626e-04,4.975222e-12,8.002468e-18
149,7.207621e-04,3.225230e-12,8.002455e-18
150,7.207621e-04,3.225230e-12,8.002455e-18
151,7.207614e-04,4.137071e-12,8.002448e-18
152,7.207614e-04,4.137071e-12,8.002448e-18
153,7.207612e-04,2.666462e-12,8.002443e-18
154,7.207612e-04,2.666462e-12,8.002443e-18
155,7.207614e-04,3.103960e-12,8.002440e-18
156,7.207614e-04,3.103960e-12,8.002440e-18
157,7.207614e-04,3.103960e-12,8.002440e-18
158,7.207614e-04,3.103960e-12,8.002440e-18
159,7.207614e-04,3.103960e-12,8.002440e-18
160,7.207614e-04,3.322709e-12,8.002438e-18
161,7.207614e-04,3.322709e-12,8.002438e-18
162,7.207614e-04,3.322709e-12,8.002438e-18
163,7.207614e-04,3.322709e-12,8.002438e-18
164,7.207614e-04,3.322709e-12,8.002438e-18
165,7.207614e-04,3.322709e-12,8.002438e-18
166,7.207614e-04,3.322709e-12,8.002438e-18
167,7.207614e-04,3.322709e-12,8.002438e-18
168,7.207614e-04,3.322709e-12,8.002438e-18
169,7.207614e-04,3.322709e-12,8.002438e-18
170,7.207614e-04,3.322709e-12,8.002438e-18
171,7.207614e-04,3.322709e-12,8.002438e-18
